epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,,
0,,4,,,,,,,0.4000000059604645,0.31142860651016235,1.3110973834991455
0,,4,,,,0.23021583259105682,1.3846774101257324,,,,
,0.001,5,,,,,,,,,
1,,9,,,,,,,0.4749999940395355,0.39047619700431824,0.9863853454589844
1,,9,,,,0.43884891271591187,1.2101664543151855,,,,
,0.001,10,,,,,,,,,
2,,14,,,,,,,0.5249999761581421,0.46800869703292847,0.8865689039230347
2,,14,,,,0.4892086386680603,1.05572509765625,,,,
,0.001,15,,,,,,,,,
3,,19,,,,,,,0.4000000059604645,0.32212695479393005,1.1542320251464844
3,,19,,,,0.3884892165660858,1.0595557689666748,,,,
,0.001,20,,,,,,,,,
4,,24,,,,,,,0.5,0.42683982849121094,0.8933623433113098
4,,24,,,,0.4748201370239258,1.0778032541275024,,,,
,0.001,25,,,,,,,,,
5,,29,,,,,,,0.6499999761581421,0.5431019067764282,0.8764403462409973
5,,29,,,,0.5179855823516846,0.9199146032333374,,,,
,0.001,30,,,,,,,,,
6,,34,,,,,,,0.574999988079071,0.5265539288520813,0.7434509992599487
6,,34,,,,0.6258992552757263,0.8714099526405334,,,,
,0.001,35,,,,,,,,,
7,,39,,,,,,,0.699999988079071,0.5851902365684509,0.6696557998657227
7,,39,,,,0.7194244861602783,0.7461919784545898,,,,
,0.001,40,,,,,,,,,
8,,44,,,,,,,0.8500000238418579,0.845707893371582,0.4984750747680664
8,,44,,,,0.7625899314880371,0.6267913579940796,,,,
,0.001,45,,,,,,,,,
9,,49,,,,,,0.9150257110595703,,,
9,,49,,,,,,,0.6000000238418579,0.4941391944885254,0.7321030497550964
9,,49,,,,0.8345323801040649,0.5005069375038147,,,,
,0.001,50,,,,,,,,,
10,,54,,,,,,,0.550000011920929,0.5084248781204224,1.2254128456115723
10,,54,,,,0.6906474828720093,0.7109181880950928,,,,
,0.001,55,,,,,,,,,
11,,59,,,,,,,0.550000011920929,0.4355665147304535,0.8281593322753906
11,,59,,,,0.7338129281997681,0.636849582195282,,,,
,0.001,60,,,,,,,,,
12,,64,,,,,,,0.6499999761581421,0.5947885513305664,0.6065170168876648
12,,64,,,,0.7050359845161438,0.7166344523429871,,,,
,0.001,65,,,,,,,,,
13,,69,,,,,,,0.8500000238418579,0.857220470905304,0.5450476408004761
13,,69,,,,0.5899280309677124,0.6580149531364441,,,,
,0.001,70,,,,,,,,,
14,,74,,,,,,,0.875,0.8728141784667969,0.5272493958473206
14,,74,,,,0.7913669347763062,0.5237434506416321,,,,
,0.001,75,,,,,,,,,
15,,79,,,,,,,0.7749999761581421,0.6962416768074036,0.5186972618103027
15,,79,,,,0.8489208817481995,0.42691248655319214,,,,
,0.001,80,,,,,,,,,
16,,84,,,,,,,0.8500000238418579,0.84935063123703,0.5055380463600159
16,,84,,,,0.8273381590843201,0.41260287165641785,,,,
,0.001,85,,,,,,,,,
17,,89,,,,,,,0.75,0.6565588712692261,0.44414693117141724
17,,89,,,,0.8633093237876892,0.36586102843284607,,,,
,0.001,90,,,,,,,,,
18,,94,,,,,,,0.875,0.8728141784667969,0.46549683809280396
18,,94,,,,0.8417266011238098,0.3602806031703949,,,,
,0.001,95,,,,,,,,,
19,,99,,,,,,0.1602945178747177,,,
19,,99,,,,,,,0.8500000238418579,0.8404262661933899,0.5039408206939697
19,,99,,,,0.8489208817481995,0.36481374502182007,,,,
,0.001,100,,,,,,,,,
20,,104,,,,,,,0.875,0.8245593905448914,0.38950368762016296
20,,104,,,,0.8705036044120789,0.3073842227458954,,,,
,0.0002,105,,,,,,,,,
21,,109,,,,,,,0.875,0.8702796697616577,0.407306969165802
21,,109,,,,0.9208633303642273,0.23135557770729065,,,,
,0.0002,110,,,,,,,,,
22,,114,,,,,,,0.8500000238418579,0.845707893371582,0.4472486972808838
22,,114,,,,0.8920863270759583,0.23640109598636627,,,,
,0.0002,115,,,,,,,,,
23,,119,,,,,,,0.925000011920929,0.9215201139450073,0.3695754408836365
23,,119,,,,0.8992805480957031,0.2187216728925705,,,,
,0.0002,120,,,,,,,,,
24,,124,,,,,,,0.8999999761581421,0.8978621363639832,0.370730459690094
24,,124,,,,0.935251772403717,0.2084866464138031,,,,
,0.0002,125,,,,,,,,,
25,,129,,,,,,,0.875,0.8728141784667969,0.37340909242630005
25,,129,,,,0.9208633303642273,0.1958521604537964,,,,
,0.0002,130,,,,,,,,,
26,,134,,,,,,,0.925000011920929,0.9215201139450073,0.3480781614780426
26,,134,,,,0.935251772403717,0.18292349576950073,,,,
,0.0002,135,,,,,,,,,
27,,139,,,,,,,0.875,0.8728141784667969,0.36931049823760986
27,,139,,,,0.9280575513839722,0.1890997290611267,,,,
,0.0002,140,,,,,,,,,
28,,144,,,,,,,0.8999999761581421,0.8978621363639832,0.35183966159820557
28,,144,,,,0.935251772403717,0.17672041058540344,,,,
,0.0002,145,,,,,,,,,
