epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.574999988079071,0.5107862949371338,1.3564876317977905
0,,2,,,,0.2589927911758423,1.3879313468933105,,,,
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.4749999940395355,0.3499999940395355,1.26381254196167
1,,5,,,,0.5539568066596985,1.3501527309417725,,,,
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.4749999940395355,0.3361244201660156,0.9857303500175476
2,,8,,,,0.4532374143600464,1.2092249393463135,,,,
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.5249999761581421,0.43230414390563965,0.9530028104782104
3,,11,,,,0.46043166518211365,1.1156500577926636,,,,
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.574999988079071,0.5090643167495728,0.9995883703231812
4,,14,,,,0.4892086386680603,0.993651807308197,,,,
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.44999998807907104,0.35735294222831726,1.075697422027588
5,,17,,,,0.5251798629760742,1.0623501539230347,,,,
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.6000000238418579,0.524651288986206,0.9613302946090698
6,,20,,,,0.4748201370239258,1.0755640268325806,,,,
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.625,0.583712100982666,0.8675463795661926
7,,23,,,,0.5395683646202087,0.9543654918670654,,,,
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.574999988079071,0.501902163028717,0.8330314755439758
8,,26,,,,0.5827338099479675,0.9097023010253906,,,,
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.625,0.5367132425308228,0.7801937460899353
9,,29,,,,0.5539568066596985,0.8696044683456421,,,,
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.699999988079071,0.6391836404800415,0.6657384634017944
10,,32,,,,0.6258992552757263,0.7971527576446533,,,,
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.6499999761581421,0.624264657497406,0.6883414387702942
11,,35,,,,0.7194244861602783,0.6906073689460754,,,,
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.699999988079071,0.67493736743927,0.5916853547096252
12,,38,,,,0.7553957104682922,0.6075390577316284,,,,
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.75,0.7420545220375061,0.617455244064331
13,,41,,,,0.6474820375442505,0.7478532791137695,,,,
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.625,0.6055555939674377,0.5898936986923218
14,,44,,,,0.7553957104682922,0.5798919200897217,,,,
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.675000011920929,0.6613585352897644,0.8145867586135864
15,,47,,,,0.7410072088241577,0.5845791697502136,,,,
,0.001,48,,,,,,,,,
16,,49,,,,,,0.5957569479942322,,,
16,,50,,,,,,,0.675000011920929,0.6129759550094604,0.6449737548828125
16,,50,,,,0.6906474828720093,0.6407619714736938,,,,
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.675000011920929,0.5809444189071655,0.6798613667488098
17,,53,,,,0.7769784331321716,0.5629727840423584,,,,
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.8500000238418579,0.8364389538764954,0.5416966676712036
18,,56,,,,0.7769784331321716,0.5402063727378845,,,,
,0.001,57,,,,,,,,,
19,,59,,,,,,,0.699999988079071,0.6591880321502686,0.5785940289497375
19,,59,,,,0.798561155796051,0.4282887279987335,,,,
,0.001,60,,,,,,,,,
20,,62,,,,,,,0.875,0.867045521736145,0.4210628569126129
20,,62,,,,0.7913669347763062,0.47883105278015137,,,,
,0.001,63,,,,,,,,,
21,,65,,,,,,,0.8500000238418579,0.8443182110786438,0.4423014521598816
21,,65,,,,0.8489208817481995,0.34207308292388916,,,,
,0.001,66,,,,,,,,,
22,,68,,,,,,,0.824999988079071,0.8038772344589233,0.4151025712490082
22,,68,,,,0.8992805480957031,0.2873213589191437,,,,
,0.001,69,,,,,,,,,
23,,71,,,,,,,0.824999988079071,0.8189775347709656,0.49857479333877563
23,,71,,,,0.8273381590843201,0.3788891136646271,,,,
,0.001,72,,,,,,,,,
24,,74,,,,,,,0.875,0.8739272356033325,0.31654900312423706
24,,74,,,,0.7769784331321716,0.38321539759635925,,,,
,0.001,75,,,,,,,,,
25,,77,,,,,,,0.8500000238418579,0.8365800976753235,0.44103890657424927
25,,77,,,,0.8776978254318237,0.2625686228275299,,,,
,0.001,78,,,,,,,,,
26,,80,,,,,,,0.824999988079071,0.8028890490531921,0.47416654229164124
26,,80,,,,0.8561151027679443,0.31704652309417725,,,,
,0.001,81,,,,,,,,,
27,,83,,,,,,,0.8999999761581421,0.8997493982315063,0.295807421207428
27,,83,,,,0.8848921060562134,0.30159491300582886,,,,
,0.001,84,,,,,,,,,
28,,86,,,,,,,0.875,0.8735230565071106,0.30289456248283386
28,,86,,,,0.8992805480957031,0.25260308384895325,,,,
,0.001,87,,,,,,,,,
29,,89,,,,,,,0.8500000238418579,0.8364389538764954,0.3967079818248749
29,,89,,,,0.8848921060562134,0.22340957820415497,,,,
,0.001,90,,,,,,,,,
30,,92,,,,,,,0.875,0.8682359457015991,0.3853781819343567
30,,92,,,,0.8992805480957031,0.2708800733089447,,,,
,0.001,93,,,,,,,,,
31,,95,,,,,,,0.925000011920929,0.9236215353012085,0.2968336045742035
31,,95,,,,0.9208633303642273,0.22124382853507996,,,,
,0.001,96,,,,,,,,,
32,,98,,,,,,,0.925000011920929,0.9234126806259155,0.26389697194099426
32,,98,,,,0.9208633303642273,0.23916541039943695,,,,
,0.001,99,,,,,,,,,
33,,99,,,,,,0.21112920343875885,,,
33,,101,,,,,,,0.8500000238418579,0.842483401298523,0.4845104217529297
33,,101,,,,0.9136690497398376,0.1961042732000351,,,,
,0.001,102,,,,,,,,,
34,,104,,,,,,,0.8500000238418579,0.8455793261528015,0.4549133777618408
34,,104,,,,0.8705036044120789,0.2957433760166168,,,,
,0.001,105,,,,,,,,,
35,,107,,,,,,,0.875,0.871250331401825,0.36318737268447876
35,,107,,,,0.7625899314880371,0.446143239736557,,,,
,0.001,108,,,,,,,,,
36,,110,,,,,,,0.8500000238418579,0.8441113233566284,0.4187031686306
36,,110,,,,0.8848921060562134,0.25797349214553833,,,,
,0.001,111,,,,,,,,,
37,,113,,,,,,,0.8500000238418579,0.8455793261528015,0.4195159077644348
37,,113,,,,0.9208633303642273,0.25612136721611023,,,,
,0.0002,114,,,,,,,,,
38,,116,,,,,,,0.875,0.8721531629562378,0.40440982580184937
38,,116,,,,0.8776978254318237,0.23761647939682007,,,,
,0.0002,117,,,,,,,,,
39,,119,,,,,,,0.8999999761581421,0.8962503671646118,0.3814946413040161
39,,119,,,,0.9136690497398376,0.21000495553016663,,,,
,0.0002,120,,,,,,,,,
40,,122,,,,,,,0.8999999761581421,0.8962503671646118,0.3759292960166931
40,,122,,,,0.935251772403717,0.1885806918144226,,,,
,0.0002,123,,,,,,,,,
41,,125,,,,,,,0.8999999761581421,0.8962503671646118,0.3666876554489136
41,,125,,,,0.9280575513839722,0.18812629580497742,,,,
42,,126,0.949999988079071,0.9494949579238892,0.26643842458724976,,,,,,
