epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,,
0,,13,,,,,,,0.4000000059604645,0.27270177006721497,1.100733757019043
0,,13,,,,0.30695444345474243,1.343735694885254,,,,
,0.001,14,,,,,,,,,
1,,27,,,,,,,0.6000000238418579,0.4757575988769531,0.9845278859138489
1,,27,,,,0.4532374143600464,1.0832082033157349,,,,
,0.001,28,,,,,,,,,
2,,41,,,,,,,0.699999988079071,0.6774331331253052,0.8379924893379211
2,,41,,,,0.6258992552757263,0.9181547164916992,,,,
,0.001,42,,,,,,,,,
3,,49,,,,,,1.030322551727295,,,
3,,55,,,,,,,0.6499999761581421,0.5069280862808228,1.2502496242523193
3,,55,,,,0.7074340581893921,0.7212525606155396,,,,
,0.001,56,,,,,,,,,
4,,69,,,,,,,0.574999988079071,0.5479515790939331,0.8834821581840515
4,,69,,,,0.6450839042663574,0.8452935218811035,,,,
,0.001,70,,,,,,,,,
5,,83,,,,,,,0.8999999761581421,0.8865240812301636,0.518947184085846
5,,83,,,,0.7362110018730164,0.6463367342948914,,,,
,0.001,84,,,,,,,,,
6,,97,,,,,,,0.824999988079071,0.8090440034866333,0.4979306757450104
6,,97,,,,0.8273381590843201,0.4797435700893402,,,,
,0.001,98,,,,,,,,,
7,,99,,,,,,0.32956498861312866,,,
7,,111,,,,,,,0.875,0.8665241003036499,0.4302191138267517
7,,111,,,,0.853717029094696,0.39873769879341125,,,,
,0.001,112,,,,,,,,,
8,,125,,,,,,,0.8500000238418579,0.8459873199462891,0.47641992568969727
8,,125,,,,0.8417266011238098,0.38202765583992004,,,,
,0.001,126,,,,,,,,,
9,,139,,,,,,,0.8999999761581421,0.8865240812301636,0.5986138582229614
9,,139,,,,0.6834532618522644,0.6095275282859802,,,,
,0.001,140,,,,,,,,,
10,,149,,,,,,0.704153835773468,,,
10,,153,,,,,,,0.7250000238418579,0.7133333086967468,1.4455430507659912
10,,153,,,,0.769784152507782,0.4308197498321533,,,,
,0.001,154,,,,,,,,,
11,,167,,,,,,,0.8500000238418579,0.8459873199462891,0.5512092709541321
11,,167,,,,0.7218225598335266,0.8997885584831238,,,,
,0.0002,168,,,,,,,,,
12,,181,,,,,,,0.800000011920929,0.7827425003051758,0.5585291385650635
12,,181,,,,0.7865707278251648,0.5731192827224731,,,,
,0.0002,182,,,,,,,,,
13,,195,,,,,,,0.875,0.8639130592346191,0.5110869407653809
13,,195,,,,0.8009592294692993,0.537787139415741,,,,
,0.0002,196,,,,,,,,,
14,,199,,,,,,0.4182170629501343,,,
14,,209,,,,,,,0.8500000238418579,0.8386749029159546,0.5185145139694214
14,,209,,,,0.8417266011238098,0.44409021735191345,,,,
,0.0002,210,,,,,,,,,
15,,223,,,,,,,0.875,0.8639130592346191,0.5113154053688049
15,,223,,,,0.88968825340271,0.38737550377845764,,,,
16,,224,0.75,0.7580128312110901,0.6705279350280762,,,,,,
