epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,,
0,,13,,,,,,,0.4000000059604645,0.2666666805744171,1.0635433197021484
0,,13,,,,0.3189448416233063,1.342943549156189,,,,
,0.001,14,,,,,,,,,
1,,27,,,,,,,0.7250000238418579,0.6132999658584595,0.8442069888114929
1,,27,,,,0.5443645119667053,1.0746115446090698,,,,
,0.001,28,,,,,,,,,
2,,41,,,,,,,0.5249999761581421,0.4980952739715576,0.7262323498725891
2,,41,,,,0.6163069605827332,0.7911021113395691,,,,
,0.001,42,,,,,,,,,
3,,49,,,,,,0.8214627504348755,,,
3,,55,,,,,,,0.3499999940395355,0.24447961151599884,1.3438725471496582
3,,55,,,,0.6618704795837402,0.774665892124176,,,,
,0.001,56,,,,,,,,,
4,,69,,,,,,,0.75,0.6731643676757812,0.8452740907669067
4,,69,,,,0.623501181602478,0.8235412240028381,,,,
,0.001,70,,,,,,,,,
5,,83,,,,,,,0.625,0.6057315468788147,0.8457449078559875
5,,83,,,,0.7601918578147888,0.5849475264549255,,,,
,0.001,84,,,,,,,,,
6,,97,,,,,,,0.800000011920929,0.798285722732544,0.6639885902404785
6,,97,,,,0.6714628338813782,0.7238200902938843,,,,
,0.001,98,,,,,,,,,
7,,99,,,,,,0.7076188921928406,,,
7,,111,,,,,,,0.800000011920929,0.8154960870742798,0.4906570017337799
7,,111,,,,0.7649880051612854,0.5477234125137329,,,,
,0.001,112,,,,,,,,,
8,,125,,,,,,,0.8500000238418579,0.8456209301948547,0.628352701663971
8,,125,,,,0.8657074570655823,0.4516432583332062,,,,
,0.001,126,,,,,,,,,
9,,139,,,,,,,0.5249999761581421,0.519321084022522,0.9008017778396606
9,,139,,,,0.6091127395629883,0.7887556552886963,,,,
,0.001,140,,,,,,,,,
10,,149,,,,,,0.7513816952705383,,,
10,,153,,,,,,,0.8500000238418579,0.8259384036064148,0.6973689794540405
10,,153,,,,0.5995203852653503,0.7995834350585938,,,,
,0.001,154,,,,,,,,,
11,,167,,,,,,,0.75,0.7166433334350586,0.5705649256706238
11,,167,,,,0.7314148545265198,0.5901237726211548,,,,
,0.001,168,,,,,,,,,
12,,181,,,,,,,0.824999988079071,0.7336646318435669,0.4931492805480957
12,,181,,,,0.8513189554214478,0.3864293694496155,,,,
,0.001,182,,,,,,,,,
13,,195,,,,,,,0.875,0.8639130592346191,0.42439597845077515
13,,195,,,,0.8153477311134338,0.44698473811149597,,,,
,0.001,196,,,,,,,,,
14,,199,,,,,,0.3754264712333679,,,
14,,209,,,,,,,0.875,0.8665217161178589,0.44598492980003357
14,,209,,,,0.8752997517585754,0.32111677527427673,,,,
,0.001,210,,,,,,,,,
15,,223,,,,,,,0.824999988079071,0.8247058987617493,0.5621867179870605
15,,223,,,,0.8705036044120789,0.3469482660293579,,,,
,0.001,224,,,,,,,,,
16,,237,,,,,,,0.8500000238418579,0.8459873199462891,0.4168987274169922
16,,237,,,,0.8057553768157959,0.4421844184398651,,,,
,0.001,238,,,,,,,,,
17,,249,,,,,,0.24859561026096344,,,
17,,251,,,,,,,0.925000011920929,0.9090696573257446,0.4245828688144684
17,,251,,,,0.8848921060562134,0.31658780574798584,,,,
,0.001,252,,,,,,,,,
18,,265,,,,,,,0.925000011920929,0.9082539677619934,0.35231679677963257
18,,265,,,,0.8944844007492065,0.26185792684555054,,,,
,0.001,266,,,,,,,,,
19,,279,,,,,,,0.925000011920929,0.9082539677619934,0.31928449869155884
19,,279,,,,0.9328536987304688,0.17449624836444855,,,,
,0.001,280,,,,,,,,,
20,,293,,,,,,,0.800000011920929,0.7841259241104126,0.5599124431610107
20,,293,,,,0.9040767550468445,0.23364782333374023,,,,
,0.001,294,,,,,,,,,
21,,299,,,,,,0.28941380977630615,,,
21,,307,,,,,,,0.875,0.8639130592346191,0.4581770896911621
21,,307,,,,0.88968825340271,0.2718425393104553,,,,
,0.001,308,,,,,,,,,
22,,321,,,,,,,0.925000011920929,0.9082539677619934,0.30475667119026184
22,,321,,,,0.9112709760665894,0.20764556527137756,,,,
,0.001,322,,,,,,,,,
23,,335,,,,,,,0.925000011920929,0.9082539677619934,0.3174097537994385
23,,335,,,,0.9472422003746033,0.13972623646259308,,,,
,0.0002,336,,,,,,,,,
24,,349,,,,,,0.610244870185852,,,
24,,349,,,,,,,0.925000011920929,0.9082539677619934,0.30689021944999695
24,,349,,,,0.9472422003746033,0.13071615993976593,,,,
,0.0002,350,,,,,,,,,
25,,363,,,,,,,0.949999988079071,0.9294736981391907,0.29933807253837585
25,,363,,,,0.9256594777107239,0.16951535642147064,,,,
,0.0002,364,,,,,,,,,
26,,377,,,,,,,0.925000011920929,0.9082539677619934,0.29254764318466187
26,,377,,,,0.9424460530281067,0.1463727205991745,,,,
,0.0002,378,,,,,,,,,
27,,391,,,,,,,0.949999988079071,0.9294736981391907,0.2738516628742218
27,,391,,,,0.9544364213943481,0.12066875398159027,,,,
,0.0002,392,,,,,,,,,
28,,399,,,,,,0.3472771942615509,,,
28,,405,,,,,,,0.875,0.8639130592346191,0.46335873007774353
28,,405,,,,0.9328536987304688,0.16839762032032013,,,,
,0.0002,406,,,,,,,,,
29,,419,,,,,,,0.925000011920929,0.909473717212677,0.31967681646347046
29,,419,,,,0.9376499056816101,0.1571885645389557,,,,
,0.0002,420,,,,,,,,,
30,,433,,,,,,,0.925000011920929,0.9082539677619934,0.29279381036758423
30,,433,,,,0.9544364213943481,0.12012654542922974,,,,
,0.0002,434,,,,,,,,,
31,,447,,,,,,,0.949999988079071,0.9294736981391907,0.2720666527748108
31,,447,,,,0.9496402740478516,0.11548695713281631,,,,
,4e-05,448,,,,,,,,,
32,,449,,,,,,0.07051359862089157,,,
32,,461,,,,,,,0.949999988079071,0.9294736981391907,0.2726222276687622
32,,461,,,,0.9616307020187378,0.10032104700803757,,,,
,4e-05,462,,,,,,,,,
33,,475,,,,,,,0.925000011920929,0.9082539677619934,0.27652716636657715
33,,475,,,,0.9640287756919861,0.0926341712474823,,,,
,4e-05,476,,,,,,,,,
34,,489,,,,,,,0.925000011920929,0.9082539677619934,0.27239519357681274
34,,489,,,,0.9592326283454895,0.09157565981149673,,,,
,4e-05,490,,,,,,,,,
35,,499,,,,,,0.11349325627088547,,,
35,,503,,,,,,,0.949999988079071,0.9294736981391907,0.2698047161102295
35,,503,,,,0.9616307020187378,0.09224142879247665,,,,
36,,504,0.8999999761581421,0.899495005607605,0.19319681823253632,,,,,,
