epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.4000000059604645,0.31302520632743835,1.3441492319107056
0,,2,,,,0.24460431933403015,1.3852837085723877,,,,
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.574999988079071,0.49491602182388306,1.2101309299468994
1,,5,,,,0.4532374143600464,1.3283828496932983,,,,
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.4749999940395355,0.38722479343414307,0.9307934045791626
2,,8,,,,0.5035971403121948,1.174117088317871,,,,
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.5,0.43536415696144104,0.8528733253479004
3,,11,,,,0.4748201370239258,1.0197250843048096,,,,
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.375,0.3396961987018585,1.089442253112793
4,,14,,,,0.5323740839958191,0.8774521946907043,,,,
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.4749999940395355,0.386904776096344,0.8882214426994324
5,,17,,,,0.48201438784599304,1.0027271509170532,,,,
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.7749999761581421,0.7679588794708252,0.6666082143783569
6,,20,,,,0.4460431635379791,1.0812402963638306,,,,
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.42500001192092896,0.3843390643596649,1.0733168125152588
7,,23,,,,0.633093535900116,0.8212008476257324,,,,
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.75,0.7484716176986694,0.732516884803772
8,,26,,,,0.4748201370239258,1.0057930946350098,,,,
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.675000011920929,0.6021018624305725,0.760276198387146
9,,29,,,,0.6690647602081299,0.7885310649871826,,,,
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.75,0.7106436491012573,0.643791139125824
10,,32,,,,0.5899280309677124,0.8247473239898682,,,,
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.875,0.8744014501571655,0.6310246586799622
11,,35,,,,0.7410072088241577,0.6945167779922485,,,,
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.8500000238418579,0.8497135043144226,0.5574541687965393
12,,38,,,,0.7266187071800232,0.7115687727928162,,,,
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.800000011920929,0.7845905423164368,0.500241219997406
13,,41,,,,0.7338129281997681,0.6124423146247864,,,,
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.8500000238418579,0.8510578274726868,0.5088261961936951
14,,44,,,,0.7553957104682922,0.5581562519073486,,,,
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.75,0.71852707862854,0.4871656000614166
15,,47,,,,0.7338129281997681,0.6024354100227356,,,,
,0.001,48,,,,,,,,,
16,,49,,,,,,0.6691259145736694,,,
16,,50,,,,,,,0.8500000238418579,0.8484262228012085,0.4768199026584625
16,,50,,,,0.6834532618522644,0.6221002340316772,,,,
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.8500000238418579,0.8460462689399719,0.4117453992366791
17,,53,,,,0.7482014298439026,0.6596085429191589,,,,
,0.0002,54,,,,,,,,,
18,,56,,,,,,,0.8500000238418579,0.8395916223526001,0.4081517159938812
18,,56,,,,0.8705036044120789,0.4248461127281189,,,,
,0.0002,57,,,,,,,,,
19,,59,,,,,,,0.7749999761581421,0.7336829900741577,0.4222505986690521
19,,59,,,,0.8633093237876892,0.40823379158973694,,,,
,0.0002,60,,,,,,,,,
20,,62,,,,,,,0.8500000238418579,0.8395916223526001,0.3926330506801605
20,,62,,,,0.8273381590843201,0.42213502526283264,,,,
,0.0002,63,,,,,,,,,
21,,65,,,,,,,0.875,0.8717172741889954,0.3705286979675293
21,,65,,,,0.8561151027679443,0.38001322746276855,,,,
22,,66,0.550000011920929,0.5347222089767456,0.8100758790969849,,,,,,
